"age_group","sex","ethnic_group","sexual_identity","relationship_status","opp_one_night_stand_ok","opp_sex_without_love_ok","opp_pressure_to_have_sex","opp_men_have_higher_sex_drive","opp_too_much_sex_media","has_child"
"16-24","Female","White","Heterosexual/straight","Never married, or lived with partner and not in a steady & ongoing relationship in last year","Always wrong","Disagree","Agree","Agree","Agree",1
"25-34","Male","White","Heterosexual/straight","Living with partner","Not wrong at all","Agree","Disagree","Disagree","Disagree",2
"25-34","Female","White","Heterosexual/straight","Married/In a civil partnership and living with spouse/partner","Sometimes wrong","Disagree","Agree","Agree strongly","Agree",2
"65-74","Female","Not white","Heterosexual/straight","Widowed and not in a steady & ongoing relationship in last year","Sometimes wrong","Neither agree or disagree","Neither agree or disagree","Agree","Agree",2
"16-24","Female","Not white","Heterosexual/straight","Never married, or lived with partner and not in a steady & ongoing relationship in last year","Depends/Don't know","Disagree","Don't know","Disagree","Neither agree or disagree",1
"35-44","Male","White","Heterosexual/straight","Previously lived with partner  as a non-married couple but not now in a steady & ongoing relationship in last year","Always wrong","Disagree","Disagree strongly","Neither agree or disagree","Agree",2
"65-74","Male","Not white","Heterosexual/straight","Married/In a civil partnership and living with spouse/partner","Always wrong","Agree","Agree strongly","Agree strongly","Agree",2
"35-44","Female","White","Heterosexual/straight","Divorced/Separated and not in a steady & ongoing relationship in last year","Mostly wrong","Agree","Agree","Disagree","Agree",2
"25-34","Female","White","Heterosexual/straight","Married/In a civil partnership and living with spouse/partner","Always wrong","Neither agree or disagree","Agree","Agree","Neither agree or disagree",1
"16-24","Female","White","Heterosexual/straight","In a steady & ongoing relationship  but not living with a partner in last year","Mostly wrong","Neither agree or disagree","Agree strongly","Agree","Neither agree or disagree",1
"25-34","Male","White","Heterosexual/straight","Living with partner","Sometimes wrong","Neither agree or disagree","Agree","Disagree","Neither agree or disagree",1
"35-44","Female","White","Heterosexual/straight","Married/In a civil partnership and living with spouse/partner","Mostly wrong","Agree","Neither agree or disagree","Agree strongly","Agree strongly",2
"25-34","Female","White","Heterosexual/straight","Married/In a civil partnership and living with spouse/partner","Sometimes wrong","Neither agree or disagree","Agree","Agree strongly","Agree",2
"25-34","Male","White","Heterosexual/straight","Previously lived with partner  as a non-married couple but not now in a steady & ongoing relationship in last year","Not wrong at all","Agree strongly","Agree","Disagree","Agree",1
"16-24","Female","White","Heterosexual/straight","In a steady & ongoing relationship  but not living with a partner in last year","Sometimes wrong","Neither agree or disagree","Agree","Agree","Agree",1
"25-34","Male","White","Heterosexual/straight","Previously lived with partner  as a non-married couple but not now in a steady & ongoing relationship in last year","Depends/Don't know","Agree","Neither agree or disagree","Agree strongly","Disagree",1
"16-24","Female","White","Heterosexual/straight","In a steady & ongoing relationship  but not living with a partner in last year","Always wrong","Neither agree or disagree","Disagree","Agree","Agree",2
"45-54","Male","White","Heterosexual/straight","Married/In a civil partnership and living with spouse/partner","Sometimes wrong","Neither agree or disagree","Agree strongly","Neither agree or disagree","Agree strongly",1
"45-54","Female","White","Not heterosexual/straight","Divorced/Separated and not in a steady & ongoing relationship in last year","Not wrong at all","Agree","Agree","Disagree","Disagree",1
"45-54","Male","White","Heterosexual/straight","Married/In a civil partnership and living with spouse/partner","Mostly wrong","Neither agree or disagree","Agree strongly","Agree","Agree",1
"25-34","Male","White","Heterosexual/straight","Never married, or lived with partner and not in a steady & ongoing relationship in last year","Sometimes wrong","Neither agree or disagree","Neither agree or disagree","Agree","Neither agree or disagree",1
"65-74","Female","Not white","Heterosexual/straight","Married/In a civil partnership and living with spouse/partner","Rarely wrong","Agree","Agree","Agree","Neither agree or disagree",2
"25-34","Male","White","Heterosexual/straight",NA,"Always wrong","Agree","Disagree","Agree","Agree",1
"16-24","Male","White","Heterosexual/straight","In a steady & ongoing relationship  but not living with a partner in last year","Not wrong at all","Agree strongly","Agree","Neither agree or disagree","Agree strongly",1
"35-44","Female","White","Heterosexual/straight","Married/In a civil partnership and living with spouse/partner","Mostly wrong","Neither agree or disagree","Neither agree or disagree","Neither agree or disagree","Agree",2
"45-54","Male","White","Heterosexual/straight","Divorced/Separated and not in a steady & ongoing relationship in last year","Mostly wrong","Agree","Neither agree or disagree","Agree","Agree",2
"16-24","Female","White","Heterosexual/straight","In a steady & ongoing relationship  but not living with a partner in last year","Sometimes wrong","Agree","Agree strongly","Neither agree or disagree","Neither agree or disagree",1
"25-34","Female","White","Heterosexual/straight","Married/In a civil partnership and living with spouse/partner","Not wrong at all","Neither agree or disagree","Agree strongly","Neither agree or disagree","Agree strongly",2
"35-44","Female","White","Heterosexual/straight","Divorced/Separated and not in a steady & ongoing relationship in last year","Sometimes wrong","Agree","Disagree","Disagree","Agree strongly",1
"16-24","Female","Not white","Heterosexual/straight","Never married, or lived with partner and not in a steady & ongoing relationship in last year","Mostly wrong","Agree","Agree","Disagree","Agree",1
"45-54","Male","White","Heterosexual/straight","Divorced/Separated and not in a steady & ongoing relationship in last year","Rarely wrong","Agree","Agree","Agree","Agree",2
"65-74","Female","White","Heterosexual/straight","Widowed and not in a steady & ongoing relationship in last year","Mostly wrong","Neither agree or disagree","Agree","Disagree","Neither agree or disagree",2
"25-34","Male","White","Heterosexual/straight","Married/In a civil partnership and living with spouse/partner","Always wrong","Agree","Disagree","Neither agree or disagree","Don't know",1
"45-54","Male","White","Heterosexual/straight","Married/In a civil partnership and living with spouse/partner","Depends/Don't know","Neither agree or disagree","Agree","Disagree","Agree",2
"25-34","Female","Not white","Heterosexual/straight","In a steady & ongoing relationship  but not living with a partner in last year","Depends/Don't know","Neither agree or disagree","Disagree","Disagree","Disagree",2
"16-24","Female","White","Heterosexual/straight","Living with partner","Sometimes wrong","Disagree","Agree","Disagree","Agree",2
"25-34","Female","White","Heterosexual/straight","Living with partner","Always wrong","Agree","Agree","Neither agree or disagree","Agree",1
"45-54","Male","White","Heterosexual/straight","In a steady & ongoing relationship  but not living with a partner in last year","Sometimes wrong","Agree","Agree","Agree","Neither agree or disagree",2
"25-34","Male","Not white","Heterosexual/straight","Married/In a civil partnership and living with spouse/partner","Always wrong","Disagree","Agree","Agree strongly","Agree",1
"35-44","Female","White","Heterosexual/straight","Previously lived with partner  as a non-married couple but not now in a steady & ongoing relationship in last year","Not wrong at all","Agree","Neither agree or disagree","Disagree","Agree",2
"35-44","Male","White","Heterosexual/straight","Divorced/Separated and not in a steady & ongoing relationship in last year","Not wrong at all","Agree strongly","Agree","Disagree","Agree",2
"45-54","Female","White","Heterosexual/straight","Married/In a civil partnership and living with spouse/partner","Sometimes wrong","Agree strongly","Agree strongly","Neither agree or disagree","Agree",2
"16-24","Female","White","Heterosexual/straight","Never married, or lived with partner and not in a steady & ongoing relationship in last year","Always wrong","Disagree","Disagree","Agree strongly","Agree strongly",2
"65-74","Male","White","Heterosexual/straight","Divorced/Separated and not in a steady & ongoing relationship in last year","Mostly wrong","Neither agree or disagree","Agree","Disagree","Agree",2
"35-44","Female","White","Heterosexual/straight","Married/In a civil partnership and living with spouse/partner","Not wrong at all","Neither agree or disagree","Disagree","Disagree","Disagree",2
"25-34","Female","White","Heterosexual/straight","Living with partner","Sometimes wrong","Agree strongly","Agree strongly","Agree strongly","Neither agree or disagree",1
"45-54","Female","Not white","Heterosexual/straight","Previously lived with partner  as a non-married couple but not now in a steady & ongoing relationship in last year","Always wrong","Disagree","Agree","Disagree","Agree",2
